Id,Channel Identifier,Abs. Time,Sender,Message,ID,Avatar,
33091,GSL_G.1_main_1,1700073246447,P.1,Greetings!,"""P.1_P.4""",527924,elephant.png
33092,GSL_G.1_main_1,1700073247559,P.8,Hi,"""P.1_P.8""",903981,Pig.png
33093,GSL_G.1_main_1,1700073250127,P.10,hey lol,"""P.4_P.10""",689043,moose.png
33094,GSL_G.1_main_1,1700073250842,P.3,Wassup,"""P.1_P.3""",931415,monkey.png
33095,GSL_G.1_main_1,1700073251928,P.4,Hi,"""P.1_P.4""",990670,panda.png
33096,GSL_G.1_main_1,1700073253203,P.6,whats up do you have any favorite tv shows?,"""P.1_P.6""",404045,donkey.png
33097,GSL_G.1_main_1,1700073256410,P.9,hey what's up,"""P.5_P.9""",939559,racoon.png
33098,GSL_G.1_main_1,1700073257122,P.4,hey,"""P.4_P.10""",990670,panda.png
33099,GSL_G.1_main_1,1700073257535,P.1,Hello!,"""P.1_P.3""",527924,elephant.png
33100,GSL_G.1_main_1,1700073257535,P.6,whats up do you have any favorite tv shows?,"""P.6_P.10""",404045,donkey.png
33101,GSL_G.1_main_1,1700073259068,P.10,hey lol,"""P.8_P.10""",689043,moose.png
33102,GSL_G.1_main_1,1700073260126,P.6,whats up do you have any favorite tv shows?,"""P.2_P.6""",404045,donkey.png
33103,GSL_G.1_main_1,1700073260692,P.4,hi,"""P.4_P.8""",990670,panda.png
33104,GSL_G.1_main_1,1700073263655,P.6,whats up do you have any favorite tv shows?,"""P.3_P.6""",404045,donkey.png
33105,GSL_G.1_main_1,1700073264397,P.10,hiii,"""P.6_P.10""",689043,moose.png
33106,GSL_G.1_main_1,1700073264867,P.8,Heyyy,"""P.8_P.10""",903981,Pig.png
33107,GSL_G.1_main_1,1700073268253,P.4,hey,"""P.3_P.4""",990670,panda.png
33108,GSL_G.1_main_1,1700073268950,P.6,whats up do you have any favorite tv shows?,"""P.4_P.6""",404045,donkey.png
33109,GSL_G.1_main_1,1700073271056,P.1,I love most things Marvel!,"""P.1_P.6""",527924,elephant.png
33110,GSL_G.1_main_1,1700073271570,P.6,whats up do you have any favorite tv shows?,"""P.5_P.6""",404045,donkey.png
33111,GSL_G.1_main_1,1700073273183,P.8,Hello,"""P.4_P.8""",903981,Pig.png
33112,GSL_G.1_main_1,1700073274933,P.6,whats up do you have any favorite tv shows?,"""P.6_P.7""",404045,donkey.png
33113,GSL_G.1_main_1,1700073274942,P.3,Wassup,"""P.3_P.4""",931415,monkey.png
33114,GSL_G.1_main_1,1700073276912,P.6,whats up do you have any favorite tv shows?,"""P.6_P.8""",404045,donkey.png
33115,GSL_G.1_main_1,1700073276987,P.1,Maybe WandaVision?,"""P.1_P.6""",527924,elephant.png
33116,GSL_G.1_main_1,1700073279223,P.6,whats up do you have any favorite tv shows?,"""P.6_P.9""",404045,donkey.png
33117,GSL_G.1_main_1,1700073279346,P.4,hmm,"""P.4_P.6""",990670,panda.png
33118,GSL_G.1_main_1,1700073282661,P.1,What about you?,"""P.1_P.6""",527924,elephant.png
33119,GSL_G.1_main_1,1700073283014,P.10,yes the vampire diaries and the office are my all time faves,"""P.6_P.10""",689043,moose.png
33120,GSL_G.1_main_1,1700073284112,P.4,how I met your mother,"""P.4_P.6""",990670,panda.png
33121,GSL_G.1_main_1,1700073284342,P.10,wbu>,"""P.6_P.10""",689043,moose.png
33122,GSL_G.1_main_1,1700073285649,P.7,Hey lol,"""P.7_P.10""",261957,rabbit.png
33123,GSL_G.1_main_1,1700073286064,P.3,Wassup,"""P.3_P.6""",931415,monkey.png
33124,GSL_G.1_main_1,1700073287531,P.4,wbu,"""P.4_P.6""",990670,panda.png
33125,GSL_G.1_main_1,1700073291612,P.1,Hello!,"""P.1_P.8""",527924,elephant.png
33126,GSL_G.1_main_1,1700073295353,P.4,just vibing wbu,"""P.3_P.4""",990670,panda.png
33127,GSL_G.1_main_1,1700073296840,P.10,what's your favorite color?,"""P.8_P.10""",689043,moose.png
33128,GSL_G.1_main_1,1700073297656,P.3,Probably Loki or mandalorian,"""P.3_P.6""",931415,monkey.png
33129,GSL_G.1_main_1,1700073298224,P.6,I used to like marvel a lot but the newer stuff isnt as good,"""P.1_P.6""",404045,donkey.png
33130,GSL_G.1_main_1,1700073298874,P.1,How are you doing?,"""P.1_P.8""",527924,elephant.png
33131,GSL_G.1_main_1,1700073303424,P.4,how you doing,"""P.4_P.8""",990670,panda.png
33132,GSL_G.1_main_1,1700073304801,P.10,what's your favorite color?,"""P.4_P.10""",689043,moose.png
33133,GSL_G.1_main_1,1700073305011,P.3,Same here,"""P.3_P.4""",931415,monkey.png
33134,GSL_G.1_main_1,1700073305202,P.6,I saw the ending of Loki was cool though,"""P.1_P.6""",404045,donkey.png
33135,GSL_G.1_main_1,1700073307565,P.2,Hey and yea I'm a big fan of game of thrones what about you?,"""P.2_P.6""",313398,dog.png
33136,GSL_G.1_main_1,1700073309506,P.10,hiii,"""P.7_P.10""",689043,moose.png
33137,GSL_G.1_main_1,1700073309923,P.8,Hmm I love greys anatomy and suits,"""P.6_P.8""",903981,Pig.png
33138,GSL_G.1_main_1,1700073310161,P.7,R you from Virginia?,"""P.7_P.10""",261957,rabbit.png
33139,GSL_G.1_main_1,1700073311028,P.1,Cool!!!,"""P.1_P.6""",527924,elephant.png
33140,GSL_G.1_main_1,1700073313925,P.4,purple,"""P.4_P.10""",990670,panda.png
33141,GSL_G.1_main_1,1700073314354,P.8,Wbu,"""P.6_P.8""",903981,Pig.png
33142,GSL_G.1_main_1,1700073315164,P.4,wbu,"""P.4_P.10""",990670,panda.png
33143,GSL_G.1_main_1,1700073316353,P.6,what was your fav marvel movie,"""P.1_P.6""",404045,donkey.png
33144,GSL_G.1_main_1,1700073317885,P.10,yeah i am! wbu?,"""P.7_P.10""",689043,moose.png
33145,GSL_G.1_main_1,1700073318424,P.6,or character,"""P.1_P.6""",404045,donkey.png
33146,GSL_G.1_main_1,1700073320548,P.1,What kind of things do you watch now?,"""P.1_P.6""",527924,elephant.png
33147,GSL_G.1_main_1,1700073321627,P.9,yeah I like dexter and true detective how about you,"""P.6_P.9""",939559,racoon.png
33148,GSL_G.1_main_1,1700073325009,P.4,hey,"""P.4_P.9""",990670,panda.png
33149,GSL_G.1_main_1,1700073326127,P.10,ooh slay,"""P.4_P.10""",689043,moose.png
33150,GSL_G.1_main_1,1700073328100,P.6,the office omg,"""P.6_P.10""",404045,donkey.png
33151,GSL_G.1_main_1,1700073329189,P.7,Im out of state,"""P.7_P.10""",261957,rabbit.png
33152,GSL_G.1_main_1,1700073329209,P.6,so good,"""P.6_P.10""",404045,donkey.png
33153,GSL_G.1_main_1,1700073329341,P.10,light blue or pink,"""P.4_P.10""",689043,moose.png
33154,GSL_G.1_main_1,1700073332520,P.4,hey,"""P.2_P.4""",990670,panda.png
33155,GSL_G.1_main_1,1700073332827,P.9,hey how's it going?,"""P.4_P.9""",939559,racoon.png
33156,GSL_G.1_main_1,1700073333869,P.1,Ooooh...Either Wanda or Dr Strange!,"""P.1_P.6""",527924,elephant.png
33157,GSL_G.1_main_1,1700073335639,P.8,amazing how about you,"""P.4_P.8""",903981,Pig.png
33158,GSL_G.1_main_1,1700073337531,P.7,Florida originally haha,"""P.7_P.10""",261957,rabbit.png
33159,GSL_G.1_main_1,1700073339421,P.6,game thrones is probably GOAT,"""P.2_P.6""",404045,donkey.png
33160,GSL_G.1_main_1,1700073342689,P.6,breaking bad tho?,"""P.2_P.6""",404045,donkey.png
33161,GSL_G.1_main_1,1700073343933,P.1,Hello!,"""P.1_P.7""",527924,elephant.png
33162,GSL_G.1_main_1,1700073344357,P.10,ooh thats cool,"""P.7_P.10""",689043,moose.png
33163,GSL_G.1_main_1,1700073345732,P.4,just vibing wbu,"""P.4_P.9""",990670,panda.png
33164,GSL_G.1_main_1,1700073345839,P.9,hey how's your day been?,"""P.9_P.10""",939559,racoon.png
33165,GSL_G.1_main_1,1700073347467,P.8,Amazing how about you,"""P.1_P.8""",903981,Pig.png
33166,GSL_G.1_main_1,1700073347756,P.10,where in florida?,"""P.7_P.10""",689043,moose.png
33167,GSL_G.1_main_1,1700073353829,P.4,incredible yet tired!,"""P.4_P.8""",990670,panda.png
33168,GSL_G.1_main_1,1700073355412,P.1,The sky!!!,"""P.1_P.3""",527924,elephant.png
33169,GSL_G.1_main_1,1700073356738,P.8,Green and blue,"""P.8_P.10""",903981,Pig.png
33170,GSL_G.1_main_1,1700073357272,P.10,hey! it's been so busy haha wbu?,"""P.9_P.10""",689043,moose.png
33171,GSL_G.1_main_1,1700073358696,P.6,what did you think about that ending to loki,"""P.3_P.6""",404045,donkey.png
33172,GSL_G.1_main_1,1700073361766,P.2,Hey what's up do you like to do for fun,"""P.2_P.4""",313398,dog.png
33173,GSL_G.1_main_1,1700073362681,P.10,ooh slay,"""P.8_P.10""",689043,moose.png
33174,GSL_G.1_main_1,1700073362990,P.4,fav movie,"""P.4_P.10""",990670,panda.png
33175,GSL_G.1_main_1,1700073365075,P.8,But like dark green and dark blue,"""P.8_P.10""",903981,Pig.png
33176,GSL_G.1_main_1,1700073369614,P.1,How are you doing?,"""P.1_P.3""",527924,elephant.png
33177,GSL_G.1_main_1,1700073369894,P.4,hmm,"""P.2_P.4""",990670,panda.png
33178,GSL_G.1_main_1,1700073370083,P.8,Wbu,"""P.8_P.10""",903981,Pig.png
33179,GSL_G.1_main_1,1700073371529,P.6,i dont like that one what about game of thrones or breaking bad,"""P.4_P.6""",404045,donkey.png
